Place,Latitude,Longitude,God,Source
Troy,42.7284117,-73.6917878,Hades,Iliad
Cretan,35.0400959,25.9901704,Hades,Iliad
Paris,48.8534951,2.3483915,Athena,Iliad
Thoon,27.3774266,77.1178651,Ares,Iliad
Mars,45.022172,4.3221548,Ares,Iliad
Mars,45.022172,4.3221548,Hermes,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
Mars,45.022172,4.3221548,Athena,Iliad
Greece,38.9953683,21.9877132,Apollo,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Mars,45.022172,4.3221548,Apollo,Iliad
Mars,45.022172,4.3221548,Apollo,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Mars,45.022172,4.3221548,Apollo,Iliad
thou,47.5790082,2.9076132,Hades,Iliad
Hercules,38.0171441,-122.2885808,Hades,Iliad
Mars,45.022172,4.3221548,Hades,Iliad
Mars,45.022172,4.3221548,Athena,Iliad
Mars,45.022172,4.3221548,Athena,Iliad
Greece,38.9953683,21.9877132,Dionysus,Iliad
Break,43.4717485,-80.5432932,Athena,Iliad
Helen,34.7009043,-83.7294546,Hera,Iliad
Paris,48.8534951,2.3483915,Hera,Iliad
Greece,38.9953683,21.9877132,Apollo,Iliad
Troy,42.7284117,-73.6917878,Hera,Iliad
Jove,43.6851765,-7.5115144,Hera,Iliad
Troy,42.7284117,-73.6917878,Hera,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Paris,48.8534951,2.3483915,Ares,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Greece,38.9953683,21.9877132,Hera,Iliad
Greece,38.9953683,21.9877132,Hades,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Greece,38.9953683,21.9877132,Hades,Iliad
Troy,42.7284117,-73.6917878,Athena,Iliad
thou,47.5790082,2.9076132,Ares,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Greece,38.9953683,21.9877132,Hera,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Jove,43.6851765,-7.5115144,Ares,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Achilles,37.2801422,-76.4402257,Athena,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
thou,47.5790082,2.9076132,Ares,Iliad
Us,39.7837304,-100.445882,Hades,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Greece,38.9953683,21.9877132,Athena,Iliad
Troy,42.7284117,-73.6917878,Hera,Iliad
check’d,9.3944146,76.7816155,Ares,Iliad
Jupiter,26.9342246,-80.0942087,Ares,Iliad
Jupiter,26.9342246,-80.0942087,Ares,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Achilles,37.2801422,-76.4402257,Ares,Iliad
Achilles,37.2801422,-76.4402257,Apollo,Iliad
Greece,38.9953683,21.9877132,Apollo,Iliad
Greece,38.9953683,21.9877132,Apollo,Iliad
Xanthus,-35.2530816,149.0713013,Apollo,Iliad
Simois,-34.6002391,-55.4639303,Ares,Iliad
Headlong,-44.5395893,168.5918104,Hades,Iliad
groans,56.1157303,14.0998365,Hades,Iliad
Jove,43.6851765,-7.5115144,Ares,Iliad
Jove,43.6851765,-7.5115144,Hades,Iliad
Jove,43.6851765,-7.5115144,Hades,Iliad
Greece,38.9953683,21.9877132,Hades,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
thou,47.5790082,2.9076132,Ares,Iliad
Greece,38.9953683,21.9877132,Ares,Iliad
Greece,38.9953683,21.9877132,Hera,Iliad
Troy,42.7284117,-73.6917878,Hera,Iliad
Somnus,-44.6642985,168.220869,Hephaestus,Iliad
Ocean,39.977818,-74.3319287,Ares,Iliad
Jupiter,26.9342246,-80.0942087,Apollo,Iliad
Mars,45.022172,4.3221548,Apollo,Iliad
Jupiter,26.9342246,-80.0942087,Apollo,Iliad
Achilles,37.2801422,-76.4402257,Athena,Iliad
Greece,38.9953683,21.9877132,Athena,Iliad
Mars,45.022172,4.3221548,Ares,Iliad
Mars,45.022172,4.3221548,Athena,Iliad
Hermes,49.3571636,2.2461658,Athena,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Greece,38.9953683,21.9877132,Hades,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Achilles,37.2801422,-76.4402257,Apollo,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Greece,38.9953683,21.9877132,Apollo,Iliad
Cretan,35.0400959,25.9901704,Hades,Iliad
thou,47.5790082,2.9076132,Apollo,Iliad
Mars,45.022172,4.3221548,Apollo,Iliad
Fates,43.9448946,18.7984389,Apollo,Iliad
Stupid,-34.5606598,-58.4566245,Ares,Iliad
Greece,38.9953683,21.9877132,Hera,Iliad
Periphas,48.2578221,-122.714437,Hera,Iliad
Troy,42.7284117,-73.6917878,Hera,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Troy,42.7284117,-73.6917878,Athena,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Troy,42.7284117,-73.6917878,Hades,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Hellespont,52.4444374,13.4087955,Hephaestus,Iliad
Greece,38.9953683,21.9877132,Athena,Iliad
Troy,42.7284117,-73.6917878,Ares,Iliad
Mars,45.022172,4.3221548,Athena,Iliad
Fates,43.9448946,18.7984389,Hephaestus,Iliad
Mars,45.022172,4.3221548,Athena,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Clang,23.0505788,113.3652699,Hephaestus,Iliad
Jupiter,26.9342246,-80.0942087,Apollo,Iliad
Achilles,37.2801422,-76.4402257,Apollo,Iliad
Achilles,37.2801422,-76.4402257,Apollo,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Ocean,39.977818,-74.3319287,Hephaestus,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
Troy,42.7284117,-73.6917878,Hermes,Iliad
Latona,47.4837565,-122.3014554,Hermes,Iliad
Mars,45.022172,4.3221548,Hephaestus,Iliad
Saturnia,42.6652237,11.5049888,Athena,Iliad
Lycaon,33.9530321,-6.8959835,Apollo,Iliad
Greece,38.9953683,21.9877132,Apollo,Iliad
Simois,-34.6002391,-55.4639303,Apollo,Iliad
Asia,51.2086975,89.2343748,Ares,Iliad
Lampus,49.4326786,15.3344666,Ares,Iliad
Capys,-14.8163612,-64.8813666,Ares,Iliad
Tmolus,38.3335174,27.9824263,Hades,Iliad
Achilles,37.2801422,-76.4402257,Athena,Iliad
Lycaon,33.9530321,-6.8959835,Athena,Iliad
Achilles,37.2801422,-76.4402257,Apollo,Iliad
Peleus,-77.474047,162.0771747,Athena,Iliad
Simois,-34.6002391,-55.4639303,Athena,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Troy,42.7284117,-73.6917878,Athena,Iliad
Mars,45.022172,4.3221548,Athena,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Achilles,37.2801422,-76.4402257,Apollo,Iliad
Jove,43.6851765,-7.5115144,Athena,Iliad
Achilles,37.2801422,-76.4402257,Ares,Iliad
Greece,38.9953683,21.9877132,Hades,Iliad
Achilles,37.2801422,-76.4402257,Ares,Iliad
Achilles,37.2801422,-76.4402257,Ares,Iliad
Achilles,37.2801422,-76.4402257,Ares,Iliad
thou,47.5790082,2.9076132,Ares,Iliad
Achilles,37.2801422,-76.4402257,Hades,Iliad
Achilles,37.2801422,-76.4402257,Hades,Iliad
Automedon,49.2567194,7.0411348,Hera,Iliad
remain’d.,53.5116594,9.9047155,Ares,Iliad
Greece,38.9953683,21.9877132,Apollo,Iliad
Jupiter,26.9342246,-80.0942087,Hera,Iliad
Achilles,37.2801422,-76.4402257,Hera,Iliad
Hermes,49.3571636,2.2461658,Athena,Iliad
Troy,42.7284117,-73.6917878,Athena,Iliad
Paris,48.8534951,2.3483915,Apollo,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
Achilles,37.2801422,-76.4402257,Hera,Iliad
Achilles,37.2801422,-76.4402257,Hera,Iliad
Achilles,37.2801422,-76.4402257,Hera,Iliad
Mysia,52.2306073,21.0203915,Hera,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
Hellespont,52.4444374,13.4087955,Hermes,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
thou,47.5790082,2.9076132,Hermes,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
Achilles,37.2801422,-76.4402257,Hermes,Iliad
Automedon,49.2567194,7.0411348,Hera,Iliad
Achilles,37.2801422,-76.4402257,Ares,Iliad
Achilles,37.2801422,-76.4402257,Hera,Iliad
Automedon,49.2567194,7.0411348,Hera,Iliad
Alcimus,40.805716,14.3478427,Hera,Iliad
Niobe,42.0125559,-79.4494948,Apollo,Iliad
Paris,48.8534951,2.3483915,Ares,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Paris,48.8534951,2.3483915,Hephaestus,Iliad
Plutarch,37.8398124,-83.0879488,Hera,Iliad
Opp,31.2821209,-86.255839,Hera,Iliad
Greece,38.9953683,21.9877132,Apollo,Iliad
Troas,46.0949315,22.2979167,Apollo,Iliad
Thebe,42.9657579,0.5902121,Apollo,Iliad
Iliad,31.2955678,77.1369731,Apollo,Iliad
Odyssey,38.7453944,-76.6294061,Apollo,Iliad
Minerva,-18.5223364,-136.3779317,Hera,Iliad
Achilles,37.2801422,-76.4402257,Hera,Iliad
Clem,38.6342643,-80.914271,Hera,Iliad
Pollux,45.9278079,7.7853104,Hera,Iliad
Hercules,38.0171441,-122.2885808,Hephaestus,Iliad
Greece,38.9953683,21.9877132,Hephaestus,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
Aulis,44.2167595,1.2838846,Apollo,Iliad
Jupiter,26.9342246,-80.0942087,Apollo,Iliad
Jupiter,26.9342246,-80.0942087,Apollo,Iliad
sqq.,55.8925148,23.3950228,Ares,Iliad
Pagan,21.1317111,94.8623644,Zeus,Iliad
Jupiter,26.9342246,-80.0942087,Zeus,Iliad
Jupiter,26.9342246,-80.0942087,Ares,Iliad
Sarpedon,-44.585308,168.241981,Ares,Iliad
Sarpedon,-44.585308,168.241981,Ares,Iliad
Mars,45.022172,4.3221548,Apollo,Iliad
Heracles,-11.9569279,-77.0820547,Zeus,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
sqq.,55.8925148,23.3950228,Hermes,Iliad
Fates,43.9448946,18.7984389,Hermes,Iliad
Iliad,31.2955678,77.1369731,Hephaestus,Iliad
Achilles,37.2801422,-76.4402257,Hephaestus,Iliad
Greece,38.9953683,21.9877132,Hephaestus,Iliad
Asia Minor,39.0,32.0,Hephaestus,Iliad
Paris,48.8534951,2.3483915,Apollo,Iliad
Ulysses,37.5814095,-101.355169,Apollo,Iliad
Iliad,31.2955678,77.1369731,Ares,Iliad
Achilles,37.2801422,-76.4402257,Hades,Iliad
