Place,God,Latitude,Longitude,Frequency,Sources
Ossa,Apollo,43.2831471,-0.2682274,1,Odyssey
Phaedra,Apollo,33.5162607,-117.6982344,1,Odyssey
Crete,Dionysus,41.4445334,-87.6313829,1,Odyssey
Athens,Dionysus,33.9597677,-83.376398,1,Odyssey
Ithaca,Hera,42.4374175,-76.5483724,1,Odyssey
Sidonia,Ares,-37.1632035,144.5597893,1,Odyssey
Ortilochus,Hera,,,1,Odyssey
Thebes,Apollo,37.2208838,-89.4609209,1,Odyssey
Hyperesia,Apollo,,,1,Odyssey
Troy,Hades,42.7284117,-73.6917878,3,"Iliad, Odyssey"
Ormenus,Apollo,,,1,Odyssey
Lesbos,Apollo,39.1758418,25.9989135,1,Odyssey
Penelope,Apollo,31.8601595,-96.9266638,2,Odyssey
Ulysses,Ares,37.5814095,-101.355169,1,Odyssey
Penelope,Ares,31.8601595,-96.9266638,1,Odyssey
Ulysses,Hades,37.5814095,-101.355169,1,Odyssey
Ithaca,Hades,42.4374175,-76.5483724,1,Odyssey
Odyssey,Apollo,38.7453944,-76.6294061,3,Iliad
Archemorus,Hades,,,1,Iliad
Achilles,Athena,37.2801422,-76.4402257,4,Iliad
Agamemnon,Apollo,53.0764094,8.8156426,2,Iliad
Jupiter,Hephaestus,26.9342246,-80.0942087,2,Iliad
Chryses,Apollo,-21.849,-138.848,1,Iliad
Atreus,Apollo,53.3010092,-4.6333582,1,Iliad
Thine,Ares,45.2601772,4.8232837,1,Iliad
Achilles,Ares,37.2801422,-76.4402257,8,Iliad
Achilles,Hera,37.2801422,-76.4402257,8,Iliad
thou,Ares,47.5790082,2.9076132,5,Iliad
Jove,Hades,43.6851765,-7.5115144,3,Iliad
Jove,Hermes,43.6851765,-7.5115144,1,Iliad
depress’d,Hades,,,1,Iliad
Augia,Ares,45.8505426,-0.0967359,1,Iliad
Abantes,Ares,40.4060868,-3.5599122,1,Iliad
Athens,Athena,33.9597677,-83.376398,1,Iliad
Titan,Hades,13.0718794,77.5560732,1,Iliad
Orthè,Hades,43.5881674,-1.1782188,1,Iliad
Pieria,Ares,46.520306,12.7972483,1,Iliad
Adrestia,Apollo,,,1,Iliad
Ascanius,Hades,-34.9694329,117.9265762,1,Iliad
Tmolus,Hades,38.3335174,27.9824263,2,Iliad
Paris,Ares,48.8534951,2.3483915,4,Iliad
Troy,Hera,42.7284117,-73.6917878,7,Iliad
Idæus,Hera,,,4,Iliad
Paris,Hades,48.8534951,2.3483915,1,Iliad
Lycaon,Athena,33.9530321,-6.8959835,2,Iliad
Simois,Ares,-34.6002391,-55.4639303,2,Iliad
Æneas,Apollo,48.5473813,-118.9786447,1,Iliad
Idæus,Hephaestus,,,1,Iliad
Cretan,Hades,35.0400959,25.9901704,2,Iliad
Paris,Athena,48.8534951,2.3483915,1,Iliad
Thoon,Ares,27.3774266,77.1178651,1,Iliad
Phaenops,Ares,,,1,Iliad
Mars,Ares,45.022172,4.3221548,2,Iliad
Mars,Hermes,45.022172,4.3221548,1,Iliad
Mars,Athena,45.022172,4.3221548,7,Iliad
Tydeus,Apollo,,,1,Iliad
Greece,Apollo,38.9953683,21.9877132,8,Iliad
thou,Hades,47.5790082,2.9076132,1,Iliad
Mars,Hades,45.022172,4.3221548,1,Iliad
Tydeus,Athena,,,2,Iliad
Scæan,Hades,,,1,Iliad
Greece,Dionysus,38.9953683,21.9877132,1,Iliad
Break,Athena,43.4717485,-80.5432932,1,Iliad
Helen,Hera,34.7009043,-83.7294546,1,Iliad
Paris,Hera,48.8534951,2.3483915,1,Iliad
Argives,Apollo,,,1,Iliad
Jove,Hera,43.6851765,-7.5115144,1,Iliad
Greece,Hera,38.9953683,21.9877132,4,Iliad
Beheld,Dionysus,,,1,Iliad
Tydeus,Hephaestus,,,1,Iliad
Greece,Hades,38.9953683,21.9877132,5,Iliad
Troy,Athena,42.7284117,-73.6917878,4,Iliad
Great Agamemnon,Hera,,,1,Iliad
Jove,Ares,43.6851765,-7.5115144,2,Iliad
Us,Hades,39.7837304,-100.445882,1,Iliad
Tydeus,Hades,,,1,Iliad
check’d,Ares,,,0,
Jupiter,Ares,26.9342246,-80.0942087,3,Iliad
Xanthus,Apollo,-35.2530816,149.0713013,1,Iliad
Headlong,Hades,-44.5395893,168.5918104,1,Iliad
groans,Hades,56.1157303,14.0998365,1,Iliad
Somnus,Hephaestus,-44.6642985,168.220869,1,Iliad
Ocean,Ares,39.977818,-74.3319287,1,Iliad
Prothoënor,Hades,,,1,Iliad
Jupiter,Dionysus,,,0,
Jupiter,Apollo,26.9342246,-80.0942087,5,Iliad
Hermes,Athena,49.3571636,2.2461658,2,Iliad
Epaltes,Hades,,,1,Iliad
Echius,Hades,,,1,Iliad
Ipheas,Hades,,,1,Iliad
thou,Apollo,47.5790082,2.9076132,1,Iliad
